# x, y, z, vx, vy, vz,
-3.36637e-05,-3.7998e-05,0.000113248,1.00408,0.998557,-0.00557062,
-3.11117e-05,7.68859e-06,0.000162511,-0.0247113,0.929799,-0.0547854,
1.9173e-05,-3.31952e-05,4.93759e-05,0.685427,-0.561063,0.0553217,
7.66615e-07,3.46309e-05,-2.79205e-05,-0.725246,0.0577192,0.281833,
6.04075e-05,-8.52009e-06,-2.27134e-05,0.0791327,-1.64012,-0.145214,
-1.02755e-05,-3.20206e-05,0.000166172,0.896002,0.351831,0.114271,
5.01621e-05,-3.72899e-05,8.39689e-05,1.17306,-1.48679,-0.127132,
2.1125e-05,2.158e-05,-0.000121308,-0.529567,-0.791776,0.109479,
-2.10552e-05,5.97167e-05,4.9177e-06,-1.36808,0.735095,-0.0202871,
2.14761e-05,2.67364e-05,-4.52228e-05,-0.730995,-0.854964,-0.0193828,
-3.57361e-06,-5.51391e-05,-0.000108529,1.29159,0.209903,0.0407748,
5.06805e-05,-1.25575e-05,-0.00012892,0.155152,-1.55371,0.139806,
2.21844e-05,5.30068e-05,-1.2076e-05,-1.34928,-0.732067,-0.022231,
2.7911e-05,-2.66551e-05,-2.71148e-06,0.843068,-0.567856,0.0772487,
1.56109e-05,-3.58288e-05,0.000158674,1.14351,-0.354456,-0.141838,
5.56907e-05,4.26203e-06,0.000100315,-0.19333,-1.56149,0.0273806,
-1.03411e-05,5.52733e-05,0.000107988,-1.44074,0.44816,-0.0115579,
-5.75879e-05,-8.78447e-06,3.44717e-05,-0.124175,1.4609,-0.00769206,
-3.54663e-05,4.96947e-05,0.000103097,-1.1916,0.865454,0.238567,
-2.29765e-05,2.97784e-05,8.67379e-05,-0.840536,0.477205,-0.0402653,
-3.57594e-05,-2.75703e-06,-0.000100301,0.196415,1.25297,-0.0409355,
-5.41305e-05,1.00305e-05,0.000115824,-0.111579,1.51075,0.100283,
-1.96602e-05,-4.39142e-05,-0.000127949,0.959144,0.504897,0.0186868,
5.77049e-05,-2.47554e-05,3.01833e-05,0.788646,-1.79633,-0.0454163,
-2.27533e-05,-3.90678e-05,0.000138942,1.24722,0.612953,-0.0213795,
4.36135e-05,3.53383e-05,6.51184e-05,-1.02854,-1.2776,-0.36165,
-2.8011e-05,-2.62221e-05,-0.000145935,0.547767,0.618978,-0.044781,
3.15368e-05,-5.49665e-05,1.17075e-05,1.31934,-1.40015,-0.0424669,
-4.53506e-05,-3.4425e-05,-4.44233e-05,0.983165,1.14551,0.0736165,
5.5493e-05,-3.34605e-05,-1.72154e-05,0.686745,-1.45455,-0.0111294,
3.21403e-05,-5.35113e-05,8.87515e-05,1.4159,-0.885942,0.0479091,
4.91815e-05,7.81325e-06,0.000125799,-0.320196,-1.23912,0.0244892,
